"_type","availability","category","list_price","name","part_number","price","quantity","rating","rating_count","seller","subcategory","thirdparty","uom"
"ProductItem","1","Horses","","SuperMask II Standard Horse Fly Mask","26779550","23.15","","","","NVC Livestock Concepts","Horse Supplies","true",""
"ProductItem","1","Horses","","SuperMask II Standard Horse Fly Mask","26779550","23.91","","","","Toolboxsupply","Horse Supplies","true",""
"ProductItem","1","Horses","","SuperMask II Standard Horse Fly Mask","26779550","24.03","","","","Rons Home and Hardware","Horse Supplies","true",""
"ProductItem","1","Horses","","SuperMask II Standard Horse Fly Mask","26779550","24.84","","","","TrueValueSuperStore","Horse Supplies","true",""
"ProductItem","1","Horses","","SuperMask II Standard Horse Fly Mask","26779550","19.99","","","","Jeffers","Horse Supplies","true",""
"ProductItem","1","Horses","","SuperMask II Standard Horse Fly Mask","26779550","27.99","","","","K Hardware","Horse Supplies","true",""
"ProductItem","1","Horses","24.27","SuperMask II Standard Horse Fly Mask","26779550","17.88","","","","UnbeatableSale","Horse Supplies","true",""
"ProductItem","1","Horses","","SuperMask II Standard Horse Fly Mask","26779550","28.79","","","","VirVentures","Horse Supplies","true",""
"ProductItem","1","Horses","","SuperMask II Standard Horse Fly Mask","26779550","33.68","","","","Product Direct","Horse Supplies","true",""
"ProductItem","1","Horses","","SuperMask II Extra Large Horse Fly Mask","26779551","19.85","","","","ProMax Commerce","Horse Supplies","true",""
"ProductItem","1","Horses","","SuperMask II Extra Large Horse Fly Mask","26779551","21.77","","","","Piccard meds 4 pets Corp","Horse Supplies","true",""
